district,area,pop,density
`Adan,"1114","1087653",976.34
Abyan,"21939","658824",30.02
Al Bayda',"11193","835683",74.66
Al Dali',"4786","602613",125.91
Al Hudaydah,"17509","3774914",215.59
Al Jawf,"30620","663147",21.65
Al Mahrah,"122500","400000",3.26
Al Mahwit,"2858","732360",256.24
Amanat Al Asimah,"126","1174767",9323.54
Amran,"9587","1123651",117.20
Dhamar,"10495","1697067",161.70
Hadramawt,"195533","1389085",7.10
Hajjah,"10141","1887213",186.09
Ibb,"6484","3911070",603.18
Lahij,"15210","926291",60.90
Ma'rib,"20023","504696",25.20
Raymah,"3442","502505",145.99
Sa`dah,"15022","987663",65.74
San`a',"15052","2279665",151.45
Shabwah,"47728","651509",13.65
Ta`izz,"12605","4554443",361.32
