district,area,pop,density
`Adan,"1,114","1,087,653",976.3491921
Abyan,"21,939","658,824",30.02980993
Al Bayda',"11,193","835,683",74.66121683
Al Dali',"4,786","602,613",125.9116172
Al Hudaydah,"17,509","3,774,914",215.5984922
Al Jawf,"30,620","663,147",21.65731548
Al Mahrah,"122,500","400,000",3.265306122
Al Mahwit,"2,858","732,360",256.2491253
Amanat Al Asimah,126,"1,174,767",9323.547619
Amran,"9,587","1,123,651",117.2056952
Dhamar,"10,495","1,697,067",161.7024297
Hadramawt,"195,533","1,389,085",7.104094961
Hajjah,"10,141","1,887,213",186.0973277
Ibb,"6,484","3,911,070",603.187847
Lahij,"15,210","926,291",60.90013149
Ma'rib,"20,023","504,696",25.20581331
Raymah,"3,442","502,505",145.9921557
Sa`dah,"15,022","987,663",65.74776994
San`a',"15,052","2,279,665",151.4526309
Shabwah,"47,728","651,509",13.65045675
Ta`izz,"12,605","4,554,443",361.3203491
